Time,Voltage(CH1),Voltage(CH2)
5.520000000000001e-07,2.7600000000000002,-0.048
5.528e-07,2.72,-0.048
5.536e-07,2.7600000000000002,-0.048
5.544e-07,2.8000000000000003,-0.048
5.552e-07,2.7600000000000002,-0.044
5.560000000000001e-07,2.7600000000000002,-0.044
5.568e-07,2.7600000000000002,-0.048
5.576000000000001e-07,2.8000000000000003,-0.052000000000000005
5.584e-07,2.7600000000000002,-0.044
5.592e-07,2.8000000000000003,-0.048
5.6e-07,2.8000000000000003,-0.048
5.608e-07,2.7600000000000002,-0.04
5.616e-07,2.7600000000000002,-0.048
5.624e-07,2.8000000000000003,-0.044
5.632000000000001e-07,2.84,-0.044
5.64e-07,2.7600000000000002,-0.048
5.648e-07,2.8000000000000003,-0.044
5.656e-07,2.8000000000000003,-0.044
5.664e-07,2.84,-0.04
5.672e-07,2.8000000000000003,-0.036000000000000004
5.68e-07,2.8000000000000003,-0.04
5.688000000000001e-07,2.84,-0.032
5.696e-07,2.88,-0.04
5.704e-07,2.7600000000000002,-0.032
5.712e-07,2.8000000000000003,-0.036000000000000004
5.72e-07,2.88,-0.032
5.728e-07,2.84,-0.032
5.736e-07,2.8000000000000003,-0.032
5.744000000000001e-07,2.88,-0.032
5.752e-07,2.88,-0.028
5.76e-07,2.88,-0.024
5.768e-07,2.88,-0.028
5.776e-07,2.88,-0.028
5.784e-07,2.88,-0.024
5.792e-07,2.88,-0.024
5.800000000000001e-07,2.92,-0.028
5.808e-07,2.84,-0.028
5.816000000000001e-07,2.84,-0.024
5.824e-07,2.88,-0.024
5.832e-07,2.88,-0.024
5.84e-07,2.88,-0.024
5.848e-07,2.88,-0.028
5.856000000000001e-07,2.92,-0.028
5.864e-07,2.92,-0.028
5.872000000000001e-07,2.92,-0.028
5.88e-07,2.92,-0.024
5.888e-07,2.96,-0.028
5.896e-07,2.96,-0.032
5.904e-07,2.88,-0.036000000000000004
5.912e-07,2.92,-0.032
5.92e-07,2.92,-0.036000000000000004
5.928000000000001e-07,2.92,-0.044
5.936e-07,2.96,-0.04
5.944e-07,2.96,-0.048
5.952e-07,2.92,-0.044
5.96e-07,2.96,-0.044
5.968e-07,2.96,-0.048
5.976e-07,2.92,-0.048
5.984000000000001e-07,2.96,-0.056
5.992e-07,2.96,-0.056
6e-07,2.92,-0.06
6.008e-07,2.96,-0.06
6.016e-07,2.92,-0.064
6.024e-07,2.92,-0.06
6.032e-07,2.92,-0.068
6.040000000000001e-07,3.0,-0.07200000000000001
6.048e-07,2.96,-0.07200000000000001
6.056e-07,2.96,-0.068
6.064e-07,2.92,-0.076
6.072e-07,3.0,-0.07200000000000001
6.08e-07,2.96,-0.07200000000000001
6.088e-07,2.96,-0.076
6.096000000000001e-07,3.0,-0.076
6.104e-07,3.0,-0.08
6.112000000000001e-07,3.0,-0.076
6.12e-07,2.96,-0.076
6.128e-07,2.96,-0.076
6.136e-07,2.96,-0.076
6.144e-07,3.04,-0.076
6.152000000000001e-07,3.0,-0.068
6.16e-07,3.0,-0.076
6.168000000000001e-07,3.0,-0.068
6.176e-07,3.0,-0.068
6.184e-07,3.0,-0.068
6.192e-07,3.0,-0.068
6.2e-07,3.0,-0.06
6.208000000000001e-07,3.04,-0.06
6.216e-07,3.08,-0.056
6.224000000000001e-07,3.04,-0.056
6.232e-07,3.04,-0.048
6.24e-07,3.08,-0.044
6.248e-07,3.04,-0.04
6.256e-07,3.04,-0.036000000000000004
6.264e-07,3.08,-0.028
6.272e-07,3.08,-0.024
6.280000000000001e-07,3.08,-0.028
6.288e-07,3.12,-0.016
6.296e-07,3.12,-0.02
6.304e-07,3.12,-0.02
6.312e-07,3.16,-0.012
6.32e-07,3.12,-0.012
